,date,180001.IB,180005.IB,180019.IB,190003.IB,160023.IB,190002.IB,value
39,2020-03-04,-52.34656905902,-21.956804739474897,5.346226095368794,10.355890947479304,5.069783786903709,-30.1713996009153,-83.70287256965841
40,2020-03-05,-52.36363607358716,-21.950561488286006,5.345534809147994,10.356873520275212,5.070559490702211,-30.1713996009153,-83.71262934266304
41,2020-03-06,-52.438442358786,-21.984659870823506,5.370039966678942,10.367486191710682,5.088591258166508,-30.17992637412935,-83.77691118718272
42,2020-03-09,-52.56393883349906,-22.083291426177276,5.411191962418631,10.117399527066894,5.121635647602763,-30.195994994750123,-84.19299811733816
43,2020-03-10,-52.50466607189232,-21.24345432825153,5.376834212176945,10.10778099683194,5.093362978802832,-30.187842181686857,-83.35798439401898
44,2020-03-11,-52.47735478346173,-21.24698907421052,5.376601410169634,10.113439840648848,5.093938563937836,-30.19114789628852,-83.33151193920445
45,2020-03-12,-52.44995292381709,-21.225171681724273,5.367157191518361,10.110243951715601,5.087675908437503,-30.191482083851138,-83.30152963772103
46,2020-03-13,-52.433166036084984,-21.169242274883814,5.3482587329628455,10.108626076097789,5.07012499321981,-30.190610984257354,-83.2660094929457
47,2020-03-16,-52.44474974412393,-21.189797352930743,5.351431515043456,10.10230938527219,5.074416348630794,-30.20128208338295,-83.30767193149119
48,2020-03-17,-52.44151515632953,-21.17086015575136,5.342983028898564,10.102296128559846,5.068698859805099,-30.20108912280015,-83.29948641761754
49,2020-03-18,-52.4414781053055,-21.17597900756727,5.342577570423515,10.102129287574169,5.070132772937086,-30.19486723992751,-83.29748472186552
50,2020-03-19,-52.45706402062087,-21.167741704804673,5.336638004711785,10.104791538045083,5.065730448667116,-30.210328699702412,-83.32797443370397
51,2020-03-20,-52.47269663444683,-21.19780300899581,5.349649767609967,10.112134589834351,5.073291663249379,-30.214697603312494,-83.35012122606145
52,2020-03-23,-52.541730339478896,-21.255325399043898,5.368339297545366,10.120506975278312,5.087909546590008,-30.22684394759708,-83.4471438667062
53,2020-03-24,-52.60253183950889,-21.274016752375466,5.372886175640049,10.134577871881511,5.091653666879796,-30.23767902457829,-83.5151099020613
54,2020-03-25,-52.66780284737021,-21.29428730025525,5.374595474019993,10.142129193928689,5.093981902512769,-30.248359953733637,-83.59974353089764
55,2020-03-26,-52.73386405653708,-21.356148393782075,5.391606104459399,10.153419988929558,5.111486757311312,-30.26761602892741,-83.70111562854629
56,2020-03-27,-52.74004107287135,-21.32768355202313,5.386247148576898,10.152143401935778,5.106554224984084,-30.26077705917344,-83.68355690857116
57,2020-03-30,-52.789387818038065,-21.35470868461606,5.38600366341284,10.157678666507433,5.108155062324297,-30.271148804477225,-83.76340791488677
58,2020-03-31,-52.844706303251364,-21.398081546574428,5.401271932820206,10.16941886120775,5.122995529768666,-30.284151768374446,-83.8332532944036
59,2020-04-01,-52.873355944393424,-21.422034959752867,5.4144414788660375,10.169411730562548,5.132713778660587,-30.28775785248621,-83.86658176854333
60,2020-04-02,-52.85471008210902,-21.405091019212247,5.40516880686315,10.169051475395548,5.124996051805044,-30.290391930681643,-83.85097669793919
61,2020-04-03,-52.850080483118006,-21.424491690883148,5.403867939481027,10.16540606060091,5.128215659087319,-30.295668832139786,-83.87275134697168
62,2020-04-07,-53.1737747665834,-21.570788187194616,5.440220575352085,10.216002506898109,5.159696821951555,-30.38368828993586,-84.31233133951213
63,2020-04-08,-53.323396279457874,-21.696855231708092,5.461739085767159,10.244493605418413,5.184832018025774,-30.420746661951657,-84.54993346390627
64,2020-04-09,-53.28976009943071,-21.672042574350574,5.447768599314973,10.23349395562695,5.173305137860342,-30.41974013088396,-84.52697511186298
65,2020-04-10,-53.22662264143753,-21.63515697810054,5.439891107875958,10.224085031258953,5.16759975336951,-30.417906771516524,-84.44811049855016
66,2020-04-13,-53.2322627895211,-21.678658618197556,5.434109572898756,10.22149633013678,5.16648261601834,-30.414549933126036,-84.50338282179081
67,2020-04-14,-53.30724877120316,-21.70941867621562,5.438890832131827,10.231847568279177,5.1737416531954405,-30.423006204941665,-84.595193598754
68,2020-04-15,-53.367771276580854,-21.72590417757454,5.445818437337784,10.242313707228654,5.179567210998773,-30.41892839094943,-84.64490448953963
69,2020-04-16,-53.394343917865044,-21.73776248912078,5.4535257816045215,10.244801707096142,5.183499110525874,-30.42357351392987,-84.67385332168915
70,2020-04-17,-53.414421795838905,-21.733611971175378,5.444283333237848,10.243890181858506,5.180198830352816,-30.420939777544586,-84.7006011991097
71,2020-04-20,-53.45822359725253,-21.744940827311503,5.434617600537678,10.251943750110396,5.17382296252466,-30.425262561175646,-84.76804267256693
72,2020-04-21,-53.53544592375029,-21.784087803896888,5.44069717607196,10.264765408843497,5.182134988400474,-30.433898253266744,-84.865834407598
73,2020-04-22,-53.60208303709253,-21.892925695971975,5.452804026202422,10.27935084813004,5.198306434418219,-30.445736841905315,-85.01028426621914
74,2020-04-23,-53.67292205037126,-21.923653305161658,5.479464220411441,10.29029080890598,5.220751624513335,-30.44883553242009,-85.05490423412226
75,2020-04-24,-53.726114404746404,-21.93318262408125,5.4878020085673045,10.28280368687639,5.227240721390568,-30.450991011317573,-85.11244162331097
